Tanggal,Harga
2022-02-10,120000.0
2022-02-11,120000.0
2022-02-12,120000.0
2022-02-13,120000.0
2022-02-14,120000.0
2022-02-15,120000.0
2022-02-16,120000.0
2022-02-17,120000.0
2022-02-18,120000.0
2022-02-19,120000.0
2022-02-20,120000.0
2022-02-21,120000.0
2022-02-22,120000.0
2022-02-23,120000.0
2022-02-24,120000.0
2022-02-25,122000.0
2022-02-26,125000.0
2022-02-27,130000.0
2022-02-28,130000.0
2022-03-01,130000.0
2022-03-02,130000.0
2022-03-03,130000.0
2022-03-04,127500.0
2022-03-05,125000.0
2022-03-06,125000.0
2022-03-07,125000.0
2022-03-08,125000.0
2022-03-09,125000.0
2022-03-10,125000.0
2022-03-11,125000.0
2022-03-12,125000.0
2022-03-13,125000.0
2022-03-14,125000.0
2022-03-15,120000.0
2022-03-16,120000.0
2022-03-17,120000.0
2022-03-18,120000.0
2022-03-19,120000.0
2022-03-20,120000.0
2022-03-21,122500.0
2022-03-22,125000.0
2022-03-23,125000.0
2022-03-24,125000.0
2022-03-25,125000.0
2022-03-26,125000.0
2022-03-27,125000.0
2022-03-28,125000.0
2022-03-29,125000.0
2022-03-30,130000.0
2022-03-31,130000.0
2022-04-01,130000.0
2022-04-02,130000.0
2022-04-03,130000.0
2022-04-04,130000.0
2022-04-05,130000.0
2022-04-06,130000.0
2022-04-07,130000.0
2022-04-08,130000.0
2022-04-09,130000.0
2022-04-10,130000.0
2022-04-11,130000.0
2022-04-12,130000.0
2022-04-13,130000.0
2022-04-14,125000.0
2022-04-15,125000.0
2022-04-16,125000.0
2022-04-17,130000.0
2022-04-18,130000.0
2022-04-19,130000.0
2022-04-20,130000.0
2022-04-21,130000.0
2022-04-22,130000.0
2022-04-23,130000.0
2022-04-24,130000.0
2022-04-25,130000.0
2022-04-26,130000.0
2022-04-27,130000.0
2022-04-28,130000.0
2022-04-29,135000.0
2022-04-30,140000.0
2022-05-01,140000.0
2022-05-02,140000.0
2022-05-03,135000.0
2022-05-04,130000.0
2022-05-05,130000.0
2022-05-06,130000.0
2022-05-07,130000.0
2022-05-08,130000.0
2022-05-09,130000.0
2022-05-10,130000.0
2022-05-11,130000.0
2022-05-12,130000.0
2022-05-13,130000.0
2022-05-14,130000.0
2022-05-15,130000.0
2022-05-16,130000.0
2022-05-17,130000.0
2022-05-18,130000.0
2022-05-19,130000.0
2022-05-20,130000.0
2022-05-21,130000.0
2022-05-22,130000.0
2022-05-23,130000.0
2022-05-24,130000.0
2022-05-25,130000.0
2022-05-26,130000.0
2022-05-27,130000.0
2022-05-28,130000.0
